Ticker,Name,MarketCap,InceptionDate
SUNDARMFIN,Sundaram Finance Limited,522521453580.0,07-JAN-1998
TIINDIA,Tube Investments of India Limited,513327190428.0,02-NOV-2017
FACT,Fertilizers and Chemicals Travancore Limited,511154505861.3,12-APR-1995
MFSL,Max Financial Services Limited,510735349602.9,17-MAY-2000
HINDCOPPER,Hindustan Copper Limited,509911765746.0,15-SEP-2010
TATACOMM,Tata Communications Limited,502854000000.0,12-APR-1995
IPCALAB,IPCA Laboratories Limited,500025643256.2,08-FEB-1995
SONACOMS,Sona BLW Precision Forgings Limited,499799768779.5,24-JUN-2021
M&MFIN,Mahindra & Mahindra Financial Services Limited,499347139230.0,17-MAR-2006
COLPAL,Colgate Palmolive (India) Limited,491886019089.0,17-DEC-2007
GLAND,Gland Pharma Limited,486119686885.8,20-NOV-2020
