Ticker,Name,MarketCap,InceptionDate
ACUTAAS,Acutaas Chemicals Limited,282569990470.8,14-SEP-2021
ACMESOLAR,Acme Solar Holdings Limited,280805829976.0,13-NOV-2024
BANDHANBNK,Bandhan Bank Limited,280317124344.0,27-MAR-2018
GRSE,Garden Reach Shipbuilders & Engineers Limited,278968485600.0,10-OCT-2018
CENTRALBK,Central Bank of India,278964187264.7,21-AUG-2007
RRKABEL,R R Kabel Limited,275638115685.0,20-SEP-2023
ANGELONE,Angel One Limited,271538776322.7,05-OCT-2020
DATAPATTNS,Data Patterns (India) Limited,267446616706.8,24-DEC-2021
APOLLOTYRE,Apollo Tyres Limited,266456601894.3,31-MAY-1995
HATSUN,Hatsun Agro Product Limited,266072806126.0,20-JUN-2014
TVSHLTD,TVS Holdings Limited,265728453936.0,23-OCT-2012
SJVN,SJVN Limited,264082235760.0,20-MAY-2010
